Gejala,Penyakit,Label
"nyeri sendi, demam, mual muntah, feses pucat, berat badan turun, urine gelap",Hepatitis,8
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah",Ambeien,5
"kliyengan, sulit menelan, gejala muncul setelah makan, perut terasa begah",GERD,11
"sembelit, diare, mual muntah, hilang selera makan, mudah lelah, lemas",Tipes,2
"mata kuning, tinja pucat, mual muntah, urine gelap",Batu Empedu,4
"feses pucat, flu, mudah lelah, nyeri perut, lemas, nyeri sendi, kulit kuning, mual muntah",Hepatitis,8
"mual muntah, nyeri tengah perut atau ulu hati yang hilang timbul, diare, sulit sendawa atau bersendawa",Usus Buntu,1
"batuk, berasa angin di dada, nyeri dada, sensasi dada terbakar, perut terasa begah, rasa panas pada tenggorokan, bau mulut",GERD,11
"sulit kentut, meriang, nyeri meningkat atau semakin parah saat berjalan, sembelit, demam, nyeri meningkat ketika perut kanan bawah ditekan",Usus Buntu,1
"sering kentut, feses berair, perut kembung, nyeri perut, sembelit, sulit menahan buang air besar",Irritable Bowel Syndrome (IBS),12
"nyeri di bawah tulang dada, mual muntah, penyakit kuning, demam, nyeri di tengah perut, nafsu makan turun, kulit gatal, nyeri perut kanan atas",Batu Empedu,4
"gejala memburuk saat makan, gejala hilang timbul selama beberapa minggu, sesak napas, selera makan berubah, muntah darah, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"diare berair atau lendir, kram perut, demam, diare berdarah",Disentri,0
"benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan, anus gatal, feses berdarah",Ambeien,5
"feses berdarah atau berlendir, berat badan turun drastis, mudah lelah",Inflammatory Bowel Disease (IBD),3
"sering kentut, mual muntah, perut kembung, nyeri ulu hati, nyeri di perut bagian atas, perut terasa penuh ketika makan",Maag,9
"feses atau tinja berbau busuk, kejang, feses berminyak",Celiac,10
"selera makan berubah, gejala hilang timbul selama beberapa minggu, sensasi dada terbakar, gejala maag yang hilang timbul selama beberapa hari, lemas",Tukak lambung,7
"mulut terasa asam atau pahit, gejala memburuk di malam hari, heartburn, sakit tenggorokan, batuk",GERD,11
"sembelit, dehidrasi, nyeri sendi dan otot, mudah lelah, batuk kering, mual muntah, demam berkepanjangan",Tipes,2
"mual muntah, diare berdarah, kram perut, demam",Disentri,0
"muntah darah, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan,  tidak nafsu makan, sesak napas, nyeri ulu hati,  sering sendawa atau bersendawa",Tukak lambung,7
"berat badan turun drastis, nyeri perut, diare disertai darah, anus berdarah",Inflammatory Bowel Disease (IBD),3
"diare berdarah, diare berair atau lendir, kram perut, mual muntah",Disentri,0
"kram perut, sering kentut, gejala hilang timbul, feses berlendir, tekstur feses atau tinja tidak menentu, sulit menahan buang air besar, sembelit, sakit perut setelah buang air besar",Irritable Bowel Syndrome (IBS),12
"muntah darah, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan",Tukak lambung,7
"gejala memburuk saat makan, mual muntah, nyeri ulu hati, gejala makin parah saat perut kosong atau belum makan, lemas, sesak napas",Tukak lambung,7
"dehidrasi, tinja encer, jarang kencing, BAB berkali-kali, feses cair, BAB lebih dari 3 kali dalam sehari, feses berdarah",Diare,13
"kentut berlebihan, gejala hilang timbul, tekstur feses atau tinja tidak menentu, sembelit, sering kentut, perut kembung, sulit menahan buang air besar",Irritable Bowel Syndrome (IBS),12
"feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar, pusing, dehidrasi, lemas, jarang kencing, sulit menahan buang air besar",Diare,13
"perut begah, feses atau tinja berbau busuk, kejang, mual muntah, mudah lelah",Celiac,10
"selera makan berubah, perut kembung, muntah darah, sensasi dada terbakar,  tidak nafsu makan, sesak napas, gejala makin parah saat perut kosong atau belum makan",Tukak lambung,7
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah",Ambeien,5
"diare berair atau lendir, mual muntah, diare berdarah, demam",Disentri,0
"diare berdarah, diare berair atau lendir, kram perut, mual muntah",Disentri,0
"berat badan turun drastis, nyeri perut, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"diare berdarah, mual muntah, demam, kram perut",Disentri,0
"demam, berat badan turun drastis, diare disertai darah, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"lemas, mudah lelah, berat badan turun, nyeri sendi, mata kuning, urine gelap",Hepatitis,8
"nyeri perut, feses atau tinja keras, perut terasa sesak dan penuh, tinja berdarah, sulit buang air besar, feses atau tinja kering",Konstipasi,6
"kram perut, demam, diare berdarah, mual muntah",Disentri,0
"demam, diare berdarah, diare berair atau lendir",Disentri,0
"mudah lelah, anus berdarah, demam, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"sering kentut, feses berair, perut kembung, nyeri perut, sembelit, sulit menahan buang air besar, diare",Irritable Bowel Syndrome (IBS),12
"BAB berkali-kali, tinja encer, perut kembung, feses keluar terus-menerus, dehidrasi, lemas, sulit menahan buang air besar, feses berdarah",Diare,13
"perut kembung, nyeri dada, mulut terasa asam atau pahit, mual muntah",GERD,11
"sulit menahan buang air besar, feses berlendir, diare, sering kentut",Irritable Bowel Syndrome (IBS),12
"kram perut, diare, sering kentut, sulit menahan buang air besar",Irritable Bowel Syndrome (IBS),12
"nyeri ulu hati, heartburn, lidah putih, gejala memburuk di malam hari, lemas, berasa angin di dada, pusing",GERD,11
"nyeri saat mengejan, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri",Ambeien,5
"mudah lelah, nafsu makan turun, feses berdarah atau berlendir, diare disertai darah, perut kembung atau begah, anus berdarah",Inflammatory Bowel Disease (IBD),3
"selera makan berubah, sensasi dada terbakar, lemas, gejala maag yang hilang timbul selama beberapa hari, gejala makin parah saat perut kosong atau belum makan, muntah darah,  sering sendawa atau bersendawa",Tukak lambung,7
"mual muntah, batuk kering, menggigil",Tipes,2
"diare berdarah, kram perut, demam, mual muntah",Disentri,0
"sering bersendawa atau sendawa, perut kembung, sering kentut, nyeri di perut bagian atas, perut terasa penuh ketika makan, mual muntah, perut terasa begah setelah makan",Maag,9
"kram perut, mual muntah, diare berair atau lendir, diare berdarah",Disentri,0
"nyeri sendi, feses berminyak, mudah lelah, anemia",Celiac,10
"ruam kulit, sembelit, nafsu makan turun, anemia, mudah lelah",Celiac,10
"kliyengan, gejala memburuk di malam hari, berasa angin di dada, rasa panas pada tenggorokan, mual muntah, gejala muncul setelah makan, heartburn",GERD,11
"tinja berdarah, sulit buang air besar, jarang buang air besar, nyeri perut, perut terasa sesak dan penuh",Konstipasi,6
"mudah lelah, nafsu makan turun, feses berdarah atau berlendir, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"nyeri sendi, mata kuning, mual muntah, lemas, demam, berat badan turun, urine gelap",Hepatitis,8
"kulit gatal, kulit kuning, penyakit kuning, nafsu makan turun",Batu Empedu,4
"perut kembung, sensasi dada terbakar, nyeri dada, heartburn",GERD,11
"mual muntah, diare, nyeri perut kanan bawah",Usus Buntu,1
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"demam, mata kuning, tinja pucat, kulit gatal, nyeri perut kanan atas, kulit kuning, nyeri di bawah tulang dada, nyeri di tengah perut",Batu Empedu,4
"nyeri ulu hati, nyeri di perut bagian atas, perut terasa begah setelah makan, mual muntah, perut kembung, sering kentut",Maag,9
"sering bersendawa atau sendawa, perut kembung, sering kentut, nyeri di perut bagian atas, perut terasa penuh ketika makan",Maag,9
"tekstur feses atau tinja tidak menentu, feses berlendir, nyeri perut, diare",Irritable Bowel Syndrome (IBS),12
"nyeri tengah perut atau ulu hati yang hilang timbul, sulit sendawa atau bersendawa, meriang, diare, nyeri perut kanan bawah, diare",Usus Buntu,1
"mudah lelah, feses berminyak, nyeri sendi, mati rasa pada kaki dan tangan, perut begah, mual muntah, sakit perut, nafsu makan turun",Celiac,10
"nyeri di bawah tulang dada, mual muntah, penyakit kuning",Batu Empedu,4
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, diare disertai darah, mudah lelah, nafsu makan turun, demam",Inflammatory Bowel Disease (IBD),3
"feses berdarah, anus nyeri, nyeri saat mengejan, anus gatal",Ambeien,5
"sulit buang air besar, feses atau tinja keras, nyeri perut, feses atau tinja kering, jarang buang air besar, tinja berdarah",Konstipasi,6
"mata kuning, demam, nyeri perut, mudah lelah",Hepatitis,8
"feses cair, jarang kencing, BAB berkali-kali",Diare,13
"feses atau tinja kering, perut terasa sesak dan penuh, feses atau tinja keras, sulit buang air besar, tinja berdarah, jarang buang air besar",Konstipasi,6
"sakit perut setelah buang air besar, gejala hilang timbul, feses berair, sulit menahan buang air besar, diare, sembelit",Irritable Bowel Syndrome (IBS),12
"nyeri saat mengejan, anus gatal, anus nyeri, feses berdarah",Ambeien,5
"diare disertai darah, nafsu makan turun, feses berdarah atau berlendir, demam, perut kembung atau begah, nyeri perut, anus berdarah, mudah lelah",Inflammatory Bowel Disease (IBD),3
"sulit kentut, meriang, nyeri meningkat atau semakin parah saat berjalan, sembelit, demam",Usus Buntu,1
"selera makan berubah, muntah darah, perut kembung, sesak napas, gejala memburuk saat makan, gejala makin parah saat perut kosong atau belum makan,  tidak nafsu makan",Tukak lambung,7
"mual muntah, sulit menelan, sakit kepala",GERD,11
"feses berair, kram perut, nyeri perut, feses berlendir, sembelit, sering kentut, kentut berlebihan, sakit perut setelah buang air besar",Irritable Bowel Syndrome (IBS),12
"dehidrasi, mual muntah, demam tinggi, mudah lelah",Tipes,2
"diare berair atau lendir, demam, mual muntah, diare berdarah",Disentri,0
"sering kentut, mual muntah, perut kembung, nyeri ulu hati",Maag,9
"mudah lelah, anus berdarah, nafsu makan turun, feses berdarah atau berlendir, perut kembung atau begah, demam, berat badan turun drastis, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"selera makan berubah, perut kembung, sensasi dada terbakar, sesak napas, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"nyeri perut, menggigil, nyeri sendi dan otot, dehidrasi, batuk kering, diare, demam berkepanjangan",Tipes,2
"nyeri sendi, mudah lelah, diare, ruam kulit",Celiac,10
"jarang buang air besar, feses atau tinja kering, nyeri perut, perut terasa sesak dan penuh, sulit buang air besar",Konstipasi,6
"feses atau tinja keras, nyeri perut, perut terasa sesak dan penuh, tinja berdarah, jarang buang air besar",Konstipasi,6
"mudah lelah, lemas, berat badan turun, kulit kuning, nyeri sendi, flu, nafsu makan turun, nyeri perut",Hepatitis,8
"BAB lebih dari 3 kali dalam sehari, lemas, pusing, feses berdarah, tinja encer",Diare,13
"feses cair, pusing, feses keluar terus-menerus, dehidrasi",Diare,13
"feses atau tinja keras, tinja berdarah, perut terasa sesak dan penuh, nyeri perut, jarang buang air besar, sulit buang air besar",Konstipasi,6
"gejala memburuk saat makan, mual muntah, nyeri ulu hati, gejala makin parah saat perut kosong atau belum makan, lemas, sesak napas, selera makan berubah",Tukak lambung,7
"hilang selera makan, demam tinggi, menggigil, demam berkepanjangan, nyeri perut, diare",Tipes,2
"diare, mual muntah, sembelit, nyeri tengah perut atau ulu hati yang hilang timbul",Usus Buntu,1
"jarang kencing, lemas, feses keluar terus-menerus, dehidrasi, tinja encer",Diare,13
"anus nyeri, nyeri saat mengejan, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"berat badan turun drastis, nafsu makan turun, demam, anus berdarah",Inflammatory Bowel Disease (IBD),3
"sembelit, diare, mual muntah, hilang selera makan",Tipes,2
"anus nyeri, anus gatal, nyeri saat mengejan, feses berdarah",Ambeien,5
"nyeri di tengah perut, kulit kuning, nyeri di bawah tulang dada",Batu Empedu,4
"sembelit, hilang selera makan, mual muntah, pusing, keringat berlebih atau banyak berkeringat, nyeri sendi dan otot",Tipes,2
"gejala memburuk di malam hari, sulit menelan, bau mulut, mulut terasa asam atau pahit, perut kembung, perut terasa begah",GERD,11
"mual muntah, sakit tenggorokan, perut kembung, lidah putih, bau mulut, nyeri dada",GERD,11
"nyeri ulu hati, lemas, gejala hilang timbul selama beberapa minggu, mual muntah",Tukak lambung,7
"feses berlendir, nyeri perut, diare, gejala hilang timbul, perut kembung, feses berair, sembelit, kentut berlebihan",Irritable Bowel Syndrome (IBS),12
"mudah lelah, demam berkepanjangan, diare, nyeri perut, sembelit",Tipes,2
"mudah lelah, feses atau tinja berwarna hijau, keringat berlebih atau banyak berkeringat",Tipes,2
"perut terasa begah setelah makan, nyeri ulu hati, perut kembung, sering kentut, perut terasa penuh ketika makan, sering bersendawa atau sendawa",Maag,9
"lemas, BAB berkali-kali, feses berdarah, dehidrasi, feses keluar terus-menerus, perut kembung",Diare,13
"sulit buang air besar, feses atau tinja kering, nyeri perut, perut terasa sesak dan penuh, jarang buang air besar",Konstipasi,6
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, feses berair",Irritable Bowel Syndrome (IBS),12
"BAB lebih dari 3 kali dalam sehari, lemas, pusing",Diare,13
"feses berdarah, lemas, perut kembung",Diare,13
"gejala makin parah saat perut kosong atau belum makan, gejala hilang timbul selama beberapa minggu, sesak napas, selera makan berubah,  sering sendawa atau bersendawa, mual muntah, perut kembung, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"gejala memburuk saat makan,  sering sendawa atau bersendawa, gejala hilang timbul selama beberapa minggu, mual muntah, nyeri ulu hati, sensasi dada terbakar, gejala makin parah saat perut kosong atau belum makan",Tukak lambung,7
"mual muntah, gejala maag yang hilang timbul selama beberapa hari,  tidak nafsu makan, sesak napas, muntah darah,  sering sendawa atau bersendawa, gejala hilang timbul selama beberapa minggu",Tukak lambung,7
"mulut terasa asam atau pahit, pusing, gejala memburuk di malam hari, perut kembung, mual muntah, gejala terasa memburuk ketika berbaring atau membungkuk",GERD,11
"nyeri perut kanan atas, urine gelap, nyeri di tengah perut, demam",Batu Empedu,4
"perut kembung, gejala memburuk saat makan, gejala makin parah saat perut kosong atau belum makan, gejala maag yang hilang timbul selama beberapa hari, nyeri ulu hati,  sering sendawa atau bersendawa, lemas",Tukak lambung,7
"feses keluar terus-menerus, lemas, sering buang air besar, BAB lebih dari 3 kali dalam sehari",Diare,13
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, tekstur feses atau tinja tidak menentu, perut kembung, diare",Irritable Bowel Syndrome (IBS),12
"sulit sendawa atau bersendawa, diare, demam",Usus Buntu,1
"anus nyeri, nyeri saat mengejan, feses berdarah",Ambeien,5
"perut kembung, sering bersendawa atau sendawa, sering kentut, perut terasa begah setelah makan",Maag,9
"sulit buang air besar, nyeri perut, perut terasa sesak dan penuh, jarang buang air besar",Konstipasi,6
"kejang, feses pucat, ruam kulit, perut begah",Celiac,10
"diare, sulit sendawa atau bersendawa, sulit kentut, nyeri tengah perut atau ulu hati yang hilang timbul, diare, nyeri meningkat atau semakin parah saat berjalan, nyeri perut kanan bawah",Usus Buntu,1
"mual muntah, lemas, mata kuning, urine gelap, flu, demam, nyeri perut",Hepatitis,8
"perut kembung, sensasi dada terbakar, sesak napas, lemas, selera makan berubah, gejala memburuk saat makan, nyeri ulu hati, gejala hilang timbul selama beberapa minggu",Tukak lambung,7
"sulit menahan buang air besar, lemas, feses keluar terus-menerus, dehidrasi, BAB berkali-kali, pusing",Diare,13
"sering bersendawa atau sendawa, sering kentut, mual muntah, nyeri ulu hati, perut kembung",Maag,9
"mudah lelah, nyeri perut, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"feses cair, BAB lebih dari 3 kali dalam sehari, lemas, perut kembung, tinja encer",Diare,13
"gejala hilang timbul, sembelit, sering kentut, sulit menahan buang air besar, feses berair",Irritable Bowel Syndrome (IBS),12
"sering bersendawa atau sendawa, sering kentut, mual muntah",Maag,9
"nyeri perut, mudah lelah, dehidrasi, pusing, sembelit, nyeri atau sakit kepala, lemas, demam tinggi",Tipes,2
"sembelit, demam, diare, sulit sendawa atau bersendawa, mual muntah",Usus Buntu,1
"kejang, feses pucat, ruam kulit, perut begah, pusing, diare, perut kembung",Celiac,10
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, nyeri perut, nafsu makan turun, demam, perut kembung atau begah, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"nyeri sendi, kerusakan gigi, nafsu makan turun, feses berminyak, mudah lelah",Celiac,10
"selera makan berubah, perut kembung, muntah darah",Tukak lambung,7
"demam, berat badan turun drastis, perut kembung atau begah, nafsu makan turun, nyeri perut, feses berdarah atau berlendir, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"diare, nyeri meningkat atau semakin parah saat berjalan, meriang",Usus Buntu,1
"tinja berdarah, nyeri perut, sulit buang air besar",Konstipasi,6
"kulit gatal, kulit kuning, penyakit kuning, nafsu makan turun, nyeri di tengah perut, demam",Batu Empedu,4
"nyeri ulu hati, lemas, gejala hilang timbul selama beberapa minggu, mual muntah, selera makan berubah",Tukak lambung,7
"perut terasa begah setelah makan, perut kembung, perut terasa penuh ketika makan, sering kentut, nyeri di perut bagian atas, nyeri ulu hati",Maag,9
"anus gatal, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"berasa angin di dada, pusing, jantung berdebar, nyeri dada, kliyengan",GERD,11
"nyeri perut, nafsu makan turun, lemas",Hepatitis,8
"kulit gatal, demam, tinja pucat, nafsu makan turun",Batu Empedu,4
"feses berdarah, BAB berkali-kali, pusing, tinja encer, sering buang air besar",Diare,13
"perut terasa begah setelah makan, perut kembung, perut terasa penuh ketika makan, sering kentut",Maag,9
"anus nyeri, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan",Ambeien,5
"urine gelap, tinja pucat, kulit gatal, nyeri di tengah perut",Batu Empedu,4
"nyeri saat mengejan, anus gatal, anus nyeri, feses berdarah",Ambeien,5
"mata kuning, nyeri perut kanan atas, nyeri di bawah tulang dada",Batu Empedu,4
"feses cair, BAB lebih dari 3 kali dalam sehari, lemas, perut kembung",Diare,13
"mudah lelah, anus berdarah, nafsu makan turun, feses berdarah atau berlendir, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"berasa angin di dada, pusing, jantung berdebar, nyeri dada, kliyengan, nyeri ulu hati, sensasi dada terbakar, mual muntah",GERD,11
"diare berair atau lendir, demam, diare berdarah, kram perut",Disentri,0
"sering bersendawa atau sendawa, nyeri ulu hati, perut terasa begah setelah makan, perut terasa penuh ketika makan, sering kentut, perut kembung, nyeri di perut bagian atas",Maag,9
"nyeri atau sakit kepala, pusing, sembelit",Tipes,2
"berat badan turun, urine gelap, mata kuning, demam, nafsu makan turun, kulit kuning",Hepatitis,8
"berasa angin di dada, pusing, jantung berdebar",GERD,11
"hilang selera makan, menggigil, nyeri atau sakit kepala, nyeri perut, feses atau tinja berwarna hijau",Tipes,2
"perut begah, feses berminyak, feses pucat, ruam kulit, kejang, mual muntah, pusing",Celiac,10
"BAB lebih dari 3 kali dalam sehari, lemas, pusing, feses berdarah",Diare,13
"anus berdarah, nyeri perut, diare disertai darah, nafsu makan turun, berat badan turun drastis",Inflammatory Bowel Disease (IBD),3
"mudah lelah, sembelit, perut kembung, feses pucat, sakit perut, mual muntah",Celiac,10
"selera makan berubah, muntah darah, perut kembung, sesak napas, gejala memburuk saat makan",Tukak lambung,7
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, feses berair, perut kembung, diare",Irritable Bowel Syndrome (IBS),12
"benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah, anus gatal",Ambeien,5
"ruam kulit, sembelit, nafsu makan turun, anemia, mudah lelah, mual muntah",Celiac,10
"sulit sendawa atau bersendawa, diare, nyeri meningkat atau semakin parah saat berjalan, nyeri meningkat ketika perut kanan bawah ditekan, mual muntah, meriang, nyeri perut kanan bawah, diare",Usus Buntu,1
"nyeri perut kanan atas, mual muntah, kulit kuning, nafsu makan turun",Batu Empedu,4
"mudah lelah, feses atau tinja berwarna hijau, keringat berlebih atau banyak berkeringat, nyeri perut",Tipes,2
"lemas, mudah lelah, nafsu makan turun, kulit kuning, feses pucat, nyeri perut, demam",Hepatitis,8
"feses berdarah atau berlendir, mudah lelah, perut kembung atau begah, berat badan turun drastis, demam",Inflammatory Bowel Disease (IBD),3
"sakit tenggorokan, rasa panas pada tenggorokan, lidah putih",GERD,11
"kejang, feses berminyak, pusing, sakit perut, ruam kulit, anemia, perut begah, sembelit",Celiac,10
"demam, kram perut, diare berair atau lendir, mual muntah",Disentri,0
"mual muntah, diare, demam",Usus Buntu,1
"diare berair atau lendir, kram perut, demam, mual muntah",Disentri,0
"sering kentut, feses berair, perut kembung, nyeri perut, sembelit",Irritable Bowel Syndrome (IBS),12
"diare berdarah, mual muntah, demam, kram perut",Disentri,0
"mual muntah, mudah lelah, berat badan turun, kulit kuning, nafsu makan turun, mata kuning",Hepatitis,8
"menggigil, nyeri perut, batuk kering, nyeri atau sakit kepala, dehidrasi",Tipes,2
"kejang, feses pucat, ruam kulit, perut begah, pusing, diare",Celiac,10
"perut begah, feses atau tinja berbau busuk, kejang",Celiac,10
"perut terasa penuh ketika makan, nyeri ulu hati, sering bersendawa atau sendawa",Maag,9
"mual muntah, mudah lelah, berat badan turun, kulit kuning",Hepatitis,8
"perut terasa begah setelah makan, perut terasa penuh ketika makan, nyeri ulu hati, sering bersendawa atau sendawa",Maag,9
"gejala memburuk saat makan,  sering sendawa atau bersendawa, gejala hilang timbul selama beberapa minggu, mual muntah, nyeri ulu hati, sensasi dada terbakar",Tukak lambung,7
"tekstur feses atau tinja tidak menentu, kram perut, sering kentut, diare, feses berlendir",Irritable Bowel Syndrome (IBS),12
"feses berdarah atau berlendir, berat badan turun drastis, mudah lelah, anus berdarah, perut kembung atau begah, nafsu makan turun, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"sering bersendawa atau sendawa, perut kembung, sering kentut",Maag,9
"feses berlendir, sering kentut, nyeri perut, sembelit, diare, feses berair",Irritable Bowel Syndrome (IBS),12
"gejala hilang timbul, sembelit, feses berlendir",Irritable Bowel Syndrome (IBS),12
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah, anus nyeri",Ambeien,5
"nyeri perut, mudah lelah, dehidrasi, pusing, sembelit, nyeri atau sakit kepala",Tipes,2
"feses cair, pusing, feses keluar terus-menerus, dehidrasi, BAB lebih dari 3 kali dalam sehari, lemas",Diare,13
"nyeri sendi, mudah lelah, diare",Celiac,10
"sembelit, dehidrasi, nyeri sendi dan otot, mudah lelah, batuk kering, mual muntah, demam berkepanjangan, nyeri perut",Tipes,2
"feses berair, kram perut, nyeri perut, feses berlendir",Irritable Bowel Syndrome (IBS),12
"kerusakan gigi, mati rasa pada kaki dan tangan, mual muntah, diare, feses pucat, anemia, pusing, sembelit",Celiac,10
"sembelit, feses berair, nyeri perut, gejala hilang timbul, kram perut, sering kentut",Irritable Bowel Syndrome (IBS),12
